date,new_cases
2021-01-03,20
2021-01-04,9
2021-01-05,6
2021-01-06,7
2021-01-07,13
2021-01-08,5
2021-01-09,9
2021-01-10,22
2021-01-11,16
2021-01-12,14
2021-01-13,18
2021-01-14,34
2021-01-15,38
2021-01-16,14
2021-01-17,21
2021-01-18,28
2021-01-19,29
2021-01-20,72
2021-01-21,65
2021-01-22,38
2021-01-23,55
2021-01-24,23
2021-01-25,30
2021-01-26,9
2021-01-27,102
2021-01-28,28
2021-01-29,17
2021-01-30,23
2021-01-31,10
2021-02-01,26
2021-02-02,7
2021-02-03,23
2021-02-04,14
2021-02-05,21
2021-02-06,6
2021-02-07,16
2021-02-08,11
2021-02-09,6
2021-02-10,18
2021-02-11,16
2021-02-12,31
2021-02-13,48
2021-02-14,25
2021-02-15,43
2021-02-16,35
2021-02-17,30
2021-02-18,25
2021-02-19,19
2021-02-20,48
2021-02-21,58
2021-02-22,37
2021-02-23,111
2021-02-24,10
2021-02-25,20
2021-02-26,6
2021-02-27,221
2021-02-28,168
2021-03-01,12
2021-03-02,5
2021-03-03,1
2021-03-04,13
2021-03-05,16
2021-03-06,2
2021-03-07,2
2021-03-08,3
2021-03-10,12
2021-03-12,4
2021-03-14,1
2021-03-15,1
2021-03-17,16
2021-03-18,1
2021-03-22,2
2021-03-24,2
2021-03-25,5
2021-03-26,1
2021-03-30,1
2021-03-31,5
2021-04-01,4
2021-04-02,6
2021-04-03,1
2021-04-04,5
2021-04-05,2
2021-04-06,5
2021-04-07,2
2021-04-08,6
2021-04-09,12
2021-04-10,16
2021-04-11,34
2021-04-12,12
2021-04-13,17
2021-04-14,30
2021-04-15,26
2021-04-16,29
2021-04-17,26
2021-04-18,21
2021-04-19,27
2021-04-20,10
2021-04-21,26
2021-04-22,19
2021-04-23,18
2021-04-24,29
2021-04-25,12
2021-04-26,20
2021-04-27,19
2021-04-28,24
2021-04-29,28
2021-04-30,49
2021-05-01,24
2021-05-02,48
2021-05-03,11
2021-05-04,55
2021-05-05,56
2021-05-06,53
2021-05-07,64
2021-05-08,46
2021-05-09,33
2021-05-10,24
2021-05-11,17
2021-05-12,60
2021-05-13,60
2021-05-14,60
2021-05-15,65
2021-05-16,67
2021-05-17,69
2021-05-18,63
2021-05-19,64
2021-05-20,81
2021-05-21,173
2021-05-22,117
2021-05-23,103
2021-05-24,64
2021-05-25,67
2021-05-26,95
2021-05-27,113
2021-05-28,125
2021-05-29,92
2021-05-30,76
2021-05-31,96
2021-06-01,87
2021-06-02,65
2021-06-03,115
2021-06-04,57
2021-06-05,61
2021-06-06,62
2021-06-07,52
2021-06-08,41
2021-06-09,48
2021-06-10,57
2021-06-11,49
2021-06-12,39
2021-06-13,32
2021-06-14,33
2021-06-15,33
2021-06-16,26
2021-06-17,3
2021-06-18,35
2021-06-19,32
2021-06-20,26
2021-06-21,14
2021-06-22,22
2021-06-23,10
2021-06-24,22
2021-06-25,15
2021-06-26,22
2021-06-27,26
2021-06-28,11
2021-06-29,24
2021-06-30,28
2021-07-01,15
2021-07-02,25
2021-07-03,20
2021-07-04,19
